DorM,Cache(M),Cores,Threads,Speed(GHz),Price,Name
1,24.75,18,36,3,1979.00,i9-9980XE
1,24.75,18,36,2.6,1979.00,i9-7980XE
1,22.00,16,32,3.1,1684.00,i9-9960X
1,22.00,16,32,2.8,1684.00,i9-7960X
1,19.25,14,28,3.3,1387.00,i9-9940X
1,19.25,14,28,3.1,1387.00,i9-7940X
1,19.25,12,24,3.5,1189.00,i9-9920X
1,16.50,12,24,2.9,1189.00,i9-7920X
1,19.25,10,20,3.5,989.00,i9-9900X
1,13.75,10,20,3.3,989.00,i9-7900X
1,16.50,10,20,3.3,889.00,i9-9820X
1,11.00,8,16,3.6,589.00,i7-7820X
1,16.50,8,16,3.8,589.00,i7-9800X
1,8.25,6,12,3.5,383.00,i7-7800X
1,8.00,4,8,4.3,339.00,i7-7740X
1,6.00,4,4,4,242.00,i5-7640X
1,16.00,8,16,3.6,488.00,i9-9900K
1,25.00,10,20,3,1723.00,i7-6950X
1,20.00,8,16,3,999.00,i7-5960X
1,20.00,8,16,3.2,1089.00,i7-6900K
1,15.00,6,12,3.6,617.00,i7-6850K
1,15.00,6,12,3.5,583.00,i7-5930K
1,15.00,6,12,3.4,434.00,i7-6800K
1,15.00,6,12,3.3,389.00,i7-5820K
1,12.00,8,8,3.6,374.00,i7-9700K
1,12.00,6,12,3.7,359.00,i7-8700K
1,8.00,4,8,4.2,339.00,i7-7700K
1,8.00,4,8,4,339.00,i7-6700K
1,12.00,6,12,3.2,303.00,i7-8700
1,8.00,4,8,3.6,303.00,i7-7700
1,8.00,4,8,3.4,303.00,i7-6700
1,9.00,6,6,3.7,262.00,i5-9600K
1,9.00,6,6,3.6,257.00,i5-8600K
1,6.00,4,4,3.8,242.00,i5-7600K
1,6.00,4,4,3.5,242.00,i5-6600K
1,9.00,6,6,3.1,213.00,i5-8600
1,6.00,4,4,3.5,213.00,i5-7600
1,6.00,4,4,3.3,213.00,i5-6600
1,9.00,6,6,3,192.00,i5-8500
1,6.00,4,4,3.4,192.00,i5-7500
1,6.00,4,4,3.2,192.00,i5-6500
1,9.00,6,6,2.8,182.00,i5-8400
1,6.00,4,4,3,182.00,i5-7400
1,6.00,4,4,2.7,182.00,i5-6400
1,6.00,4,4,2.8,182.00,i5-6402P
1,8.00,4,4,4,168.00,i3-8350K
1,4.00,2,4,4.2,168.00,i3-7350K
1,4.00,2,4,4.1,149.00,i3-7320
1,4.00,2,4,3.9,149.00,i3-6320
1,8.00,4,4,3.7,138.00,i3-8300 
1,4.00,2,4,4,138.00,i3-7300
1,4.00,2,4,3.8,138.00,i3-6300
1,6.00,4,4,3.6,117.00,i3-8100
1,3.00,2,4,3.9,117.00,i3-7100
1,3.00,2,4,3.7,117.00,i3-6100
1,3.00,2,4,3.6,117.00,i3-6098P
1,6.00,4,8,3.3,366.00,i7-5775C
1,6.00,4,8,3.3,348.00,i7-5775R
1,12.00,6,12,2.4,303.00,i7-8700T
1,8.00,4,8,2.9,303.00,i7-7700T
1,8.00,4,8,2.8,303.00,i7-6700T
1,4.00,4,4,3.1,276.00,i5-5675C
1,4.00,4,4,3.1,265.00,i5-5675R
1,9.00,6,6,2.3,213.00,i5-8600T
1,6.00,4,4,2.8,213.00,i5-7600T
1,6.00,4,4,2.7,213.00,i5-6600T
1,4.00,4,4,2.8,244.00,i5-5575R
1,9.00,6,6,2.1,192.00,i5-8500T
1,6.00,4,4,2.7,192.00,i5-7500T
1,6.00,4,4,2.5,192.00,i5-6500T
1,9.00,6,6,1.7,182.00,i5-8400T
1,6.00,4,4,2.4,182.00,i5-7400T
1,6.00,4,4,2.2,182.00,i5-6400T
1,8.00,4,4,3.2,138.00,i3-8300T 
1,4.00,2,4,3.5,138.00,i3-7300T 
1,4.00,2,4,3.3,138.00,i3-6300T
1,6.00,4,4,3.1,117.00,i3-8100T
1,3.00,2,4,3.4,117.00,i3-7100T
1,3.00,2,4,3.2,117.00,i3-6100T
1,4.00,2,4,3.9,86.00,G5600
1,3.00,2,4,3.7,86.00,G4620
1,3.00,2,2,3.6,86.00,G4520
1,4.00,2,4,3.8,75.00,G5500
1,3.00,2,4,3.6,75.00,G4600
1,3.00,2,2,3.5,75.00,G4500
1,4.00,2,4,3.7,64.00,G5400
1,3.00,2,4,3.5,64.00,G4560
1,3.00,2,2,3.3,64.00,G4400
1,4.00,2,4,3.2,75.00,G5500T
1,3.00,2,4,3,75.00,G4600T
1,3.00,2,2,3,75.00,G4500T
1,3.00,2,2,2.9,64.00,G4400T
1,4.00,2,4,3.1,64.00,G5400T
1,3.00,2,4,2.9,64.00,G4560T
1,2.00,4,4,2.64,161.00,J3710
1,2.00,4,4,2.4,161.00,N3700
1,2.00,4,4,2.6,161.00,J4205
1,2.00,2,2,3.2,52.00,G4920
1,2.00,2,2,3,52.00,G3950
1,2.00,2,2,2.9,52.00,G3920
1,2.00,2,2,3.1,42.00,G4900
1,2.00,2,2,2.9,42.00,G3930
1,2.00,2,2,2.8,42.00,G3900
1,2.00,4,4,2.24,107.00,J3160
1,2.00,4,4,2.08,107.00,N3150
1,2.00,4,4,2.3,107.00,J3455
1,2.00,2,2,2.48,107.00,J3060
1,2.00,2,2,2.16,107.00,N3050
1,2.00,2,2,2.5,107.00,J3355
1,2.00,2,2,2.9,42.00,G4900T
1,2.00,2,2,2.7,42.00,G3930T
1,2.00,2,2,2.6,42.00,G3900T
0,8.00,4,8,3,1207.00,E3-1575M v5
0,8.00,4,8,2.9,679.00,E3-1545M v5
0,8.00,4,8,2.8,489.00,E3-1515M v5
0,8.00,4,8,2.9,623.00,E3-1535M v5
0,12.00,6,12,2.9,623.00,E-2186M
0,8.00,4,8,2.8,434.00,E3-1505M v5
0,8.00,4,8,3.1,623.00,"E3-1535M v6,"
0,8.00,4,8,3,434.00,E3-1505M v6
0,12.00,6,12,2.7,450.00,E-2176M
0,12.00,6,12,2.9,583.00,i9-8950HK
0,8.00,4,8,2.8,623.00,i7-6970HQ
0,8.00,4,8,2.7,434.00,i7-6870HQ
0,6.00,4,8,2.6,434.00,i7-6770HQ
0,8.00,4,8,3.1,568.00,"I7-7920HQ, "
0,8.00,4,8,2.9,378.00,"i7-7820HQ, "
0,8.00,4,8,2.9,378.00,"i7-7820HK,"
0,9.00,6,12,2.6,395.00,i7-8850H
0,6.00,4,8,2.8,378.00,i7-7700HQ
0,9.00,6,12,2.2,395.00,i7-8750H
0,8.00,4,8,2.9,568.00,i7-6920HQ
0,8.00,4,8,2.7,378.00,i7-6820HQ
0,8.00,4,8,2.7,378.00,i7-6820HK
0,6.00,4,8,2.9,623.00,i7-5950HQ
0,6.00,4,8,2.7,434.00,i7-5850HQ
0,6.00,4,8,2.5,434.00,i7-5750HQ
0,6.00,4,8,2.7,378.00,i7-5700HQ
0,6.00,4,8,2.6,378.00,i7-6700HQ
0,6.00,4,4,2.3,306.00,i5-6350HQ
0,6.00,4,4,2.6,250.00,i5-6440HQ
0,6.00,4,4,2.8,250.00,"i5-7440HQ, "
0,8.00,4,8,2.5,250.00,"i5-8400H, "
0,6.00,4,4,2.5,250.00,i5-7300HQ
0,8.00,4,8,2.3,250.00,i5-8300H
0,6.00,4,4,2.3,250.00,i5-6300HQ
0,4.00,2,4,3,289.00,i5-5350H
0,3.00,2,4,3,225.00,i3-7100H
0,3.00,2,4,2.7,225.00,i3-6100H
0,4.00,2,4,2.4,415.00,i7-6660U
0,4.00,2,4,2.2,415.00,i7-6650U
0,4.00,2,4,2.2,415.00,i7-6560U
0,4.00,2,4,2.4,415.00,i7-7560U
0,4.00,2,4,3.3,415.00,i7-6567U
0,4.00,2,4,3.5,415.00,i7-7567U
0,8.00,4,8,2.7,431.00,i7-8559U
0,4.00,2,4,2.2,426.00,i7-5650U
