MyUnknownColumn,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,id,name,price,speed,storagecapacity
1175,Lenovo,"ThinkPad T460s",Ultrabook,14,"Full HD 1920x1080","Intel Core i7 6600U 2.6GHz",12GB,"512GB SSD","Intel HD Graphics 520","Windows 7",1.4kg,2299,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
1213,HP,"Pavilion Power",Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.21kg,1327,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
994,Dell,"Inspiron 7579","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12GB,"512GB SSD","Intel HD Graphics 620","Windows 10",2.19kg,1299,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
976,Acer,"Aspire F5-573G-510L",Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",12GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 950M","Windows 10",2.4kg,1009,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
1072,Dell,"Inspiron 7378","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12GB,"256GB SSD","Intel HD Graphics 620","Windows 10",1.6kg,1299,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
898,Asus,"Rog GL753VD-GC082T",Gaming,17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",12GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.2kg,1369.9,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
739,Dell,"Inspiron 3567",Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",12GB,"1TB HDD","Intel HD Graphics 620","Windows 10",2.25kg,649,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
784,Asus,"Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce","2 in 1 Convertible",15.6,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12GB,"2TB HDD","Nvidia GeForce 940MX","Windows 10",2.3kg,839,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
819,HP,"Omen 17-an012dx",Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"1TB HDD","AMD Radeon RX 580","Windows 10",3.74kg,1749,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
280,Dell,"Inspiron 5567",Notebook,15.6,1366x768,"Intel Core i7 7500U 2.7GHz",12GB,"1TB HDD","Intel HD Graphics 620","Windows 10",2.3kg,713.07,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
290,Acer,"SP315-51 (i7-7500U/12GB/1TB/FHD/W10)",Notebook,15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12GB,"1TB HDD","Intel HD Graphics 620","Windows 10",2.15kg,659,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
102,HP,"Omen 15-ce007nv",Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.62kg,1249,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
71,Asus,"FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce",Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"1TB HDD","Nvidia GeForce GTX 1050 Ti",Linux,3kg,949,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
45,Dell,"Inspiron 7773","2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",12GB,"1TB HDD","Nvidia GeForce 150MX","Windows 10",2.77kg,999,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
598,Lenovo,"IdeaPad 320-15ABR",Notebook,15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12GB,"512GB SSD","AMD Radeon 530","Windows 10",2.2kg,949,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
594,Lenovo,"Thinkpad T460s",Ultrabook,14,"IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz",12GB,"256GB SSD","Intel HD Graphics 520","Windows 10",1.4kg,1673,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
595,Lenovo,"Ideapad 320-15IKBR",Notebook,15.6,"Touchscreen 1366x768","Intel Core i7 8550U 1.8GHz",12GB,"1TB HDD","Intel HD Graphics 620","Windows 10",2.2kg,609,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
476,Lenovo,"Thinkpad T460s",Ultrabook,14,"IPS Panel Quad HD+ 2560x1440","Intel Core i7 6600U 2.6GHz",12GB,"256GB SSD","Intel HD Graphics 520","Windows 10",1.4kg,1858,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
475,HP,"Omen 17-an006nv",Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"1TB HDD","Nvidia GeForce GTX 1060","Windows 10",3.78kg,1699,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
347,Lenovo,"IdeaPad 320-15ABR",Notebook,15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12GB,"2TB HDD","AMD Radeon 530","Windows 10",2.2kg,899,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
435,HP,"Omen 17-w207nv",Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",3.35kg,1999,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
399,Acer,"Aspire 5",Notebook,15.6,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",12GB,"1TB HDD","Nvidia GeForce MX130","Windows 10",2.2kg,693.99,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
545,HP,"Omen 15-ce006nv",Gaming,17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12GB,"1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.62kg,1799,7,"Kingston 240GB A400 SATA 3 2.5" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",35,350,0
