Date,Open,High,Low,Close,Adj Close,Volume,D_Change,P_Change,S_State ,E_State
11/18/2015,2.325,2.35,2.325,2.35,2.267818,1400,-0.025,-1.075268817,1,
11/19/2015,2.45,2.475,2.45,2.45,2.364321,28300,0,0,,
11/20/2015,2.625,2.65,2.55,2.55,2.460824,15900,0.075,2.857142857,,
11/23/2015,2.55,2.55,2.55,2.55,2.460824,800,0,0,,
11/24/2015,2.925,2.975,2.9,2.95,2.846836,6400,-0.025,-0.854700855,,
11/25/2015,3.05,3.05,2.95,2.975,2.870961,15000,0.075,2.459016393,,
11/27/2015,2.725,2.725,2.725,2.725,2.629704,400,0,0,,
11/30/2015,2.5,2.5,2.475,2.475,2.388447,3600,0.025,1,,
12/1/2015,2.425,2.5,2.425,2.475,2.388447,1100,-0.05,-2.06185567,,
12/2/2015,2.5,2.5,2.5,2.5,2.412573,4200,0,0,,
12/3/2015,2.525,2.525,2.5,2.5,2.412573,700,0.025,0.99009901,,
12/4/2015,2.475,2.5,2.475,2.475,2.388447,400,0,0,,
12/7/2015,2.55,2.575,2.55,2.55,2.460824,1100,0,0,,
12/8/2015,2.475,2.5,2.45,2.45,2.364321,10200,0.025,1.01010101,,
12/9/2015,2.475,2.525,2.475,2.525,2.436699,35000,-0.05,-2.02020202,,
12/10/2015,2.425,2.425,2.425,2.425,2.340195,2800,0,0,,
12/11/2015,2.475,2.475,2.475,2.475,2.388447,21400,0,0,,
12/14/2015,2.475,2.55,2.475,2.55,2.460824,7600,-0.075,-3.03030303,,
12/15/2015,2.475,2.475,2.475,2.475,2.388447,9400,0,0,,
12/16/2015,2.5,2.5,2.425,2.425,2.340195,5700,0.075,3,,
12/17/2015,2.375,2.425,2.375,2.425,2.340195,2300,-0.05,-2.105263158,,
12/18/2015,2.375,2.425,2.375,2.425,2.340195,2000,-0.05,-2.105263158,,
12/21/2015,2.425,2.425,2.425,2.425,2.340195,0,0,0,,
12/22/2015,2.325,2.325,2.3,2.325,2.243693,4500,0,0,,
12/23/2015,2.3,2.325,2.3,2.3,2.219567,9500,0,0,,
12/24/2015,2.3,2.3,2.3,2.3,2.219567,100,0,0,,
12/28/2015,2.45,2.475,2.325,2.325,2.243693,8200,0.125,5.102040816,,
12/29/2015,2.425,2.475,2.375,2.375,2.291944,3900,0.05,2.06185567,,
12/30/2015,2.45,2.5,2.45,2.5,2.412573,11200,-0.05,-2.040816327,,
12/31/2015,2.475,2.5,2.475,2.5,2.412573,2400,-0.025,-1.01010101,,
1/4/2016,2.5,2.5,2.5,2.5,2.412573,0,0,0,,
1/5/2016,2.45,2.45,2.45,2.45,2.364321,5300,0,0,,
1/6/2016,2.45,2.5,2.425,2.425,2.340195,1600,0.025,1.020408163,,
1/7/2016,2.35,2.45,2.35,2.375,2.291944,10400,-0.025,-1.063829787,,
1/8/2016,2.35,2.35,2.35,2.35,2.267818,4400,0,0,,
1/11/2016,2.4,2.4,2.375,2.4,2.31607,3400,0,0,,
1/12/2016,2.375,2.425,2.375,2.425,2.340195,6800,-0.05,-2.105263158,,
1/13/2016,2.35,2.35,2.325,2.325,2.243693,18000,0.025,1.063829787,,
1/14/2016,2.325,2.325,2.25,2.325,2.243693,5800,0,0,,
1/15/2016,2.55,2.55,2.5,2.5,2.412573,17600,0.05,1.960784314,,
1/19/2016,2.55,2.55,2.55,2.55,2.460824,500,0,0,,
1/20/2016,2.5,2.5,2.5,2.5,2.412573,0,0,0,,
1/21/2016,2.775,2.925,2.65,2.825,2.726207,35100,-0.05,-1.801801802,,
1/22/2016,2.775,2.775,2.675,2.7,2.605578,25300,0.075,2.702702703,,
1/25/2016,2.575,2.65,2.575,2.625,2.533201,7800,-0.05,-1.941747573,,
1/26/2016,2.675,2.725,2.675,2.725,2.629704,900,-0.05,-1.869158879,,
1/27/2016,2.825,2.825,2.7,2.8,2.702081,2700,0.025,0.884955752,,
1/28/2016,2.8,2.8,2.8,2.8,2.702081,0,0,0,,
1/29/2016,2.825,3.175,2.825,3.125,3.015716,67400,-0.3,-10.61946903,,
2/1/2016,2.95,2.95,2.875,2.9,2.798584,16800,0.05,1.694915254,,
2/2/2016,2.925,2.925,2.8,2.825,2.726207,2600,0.1,3.418803419,,
2/3/2016,2.9,2.9,2.725,2.725,2.629704,3900,0.175,6.034482759,,
2/4/2016,3.325,3.35,3.125,3.175,3.063967,19900,0.15,4.511278195,,
2/5/2016,3.55,3.775,3.55,3.775,3.642985,42400,-0.225,-6.338028169,,
2/8/2016,3.675,3.75,3.6,3.675,3.546482,10200,0,0,,
2/9/2016,3.55,3.55,3.4,3.45,3.32935,19000,0.1,2.816901408,,
2/10/2016,3.45,3.45,3.325,3.325,3.208722,3700,0.125,3.623188406,,
2/11/2016,3.35,3.375,3.275,3.275,3.16047,4900,0.075,2.23880597,,
2/12/2016,3.175,3.175,3.05,3.1,2.99159,21000,0.075,2.362204724,,
2/16/2016,3.15,3.175,3.15,3.15,3.039842,11000,0,0,,
2/17/2016,3.375,3.425,3.375,3.425,3.305225,5000,-0.05,-1.481481481,,
2/18/2016,3.725,3.725,3.525,3.65,3.522356,46700,0.075,2.013422819,,
2/19/2016,3.7,3.7,3.525,3.625,3.49823,8300,0.075,2.027027027,,
2/22/2016,3.725,3.9,3.725,3.9,3.763613,32200,-0.175,-4.697986577,,
2/23/2016,3.85,3.95,3.85,3.95,3.811865,37000,-0.1,-2.597402597,,
2/24/2016,3.875,3.9,3.775,3.9,3.763613,8400,-0.025,-0.64516129,,
2/25/2016,3.15,3.2,2.6,3.075,2.967464,63400,0.075,2.380952381,,
2/26/2016,2.975,3.225,2.85,3.15,3.039842,45700,-0.175,-5.882352941,,
2/29/2016,2.9,2.925,2.875,2.925,2.82271,20700,-0.025,-0.862068966,,
3/1/2016,2.875,2.9,2.7,2.9,2.798584,12600,-0.025,-0.869565217,,
3/2/2016,2.9,2.9,2.75,2.875,2.774458,23000,0.025,0.862068966,,
3/3/2016,2.975,3.05,2.95,3,2.895087,32700,-0.025,-0.840336134,,
3/4/2016,3.225,3.75,3.225,3.65,3.522356,72300,-0.425,-13.17829457,,
3/7/2016,3.575,3.7,3.525,3.65,3.522356,52300,-0.075,-2.097902098,,
3/8/2016,3.375,3.6,3.375,3.55,3.425853,20500,-0.175,-5.185185185,,
3/9/2016,3.5,3.575,3.45,3.5,3.377602,11200,0,0,,
3/10/2016,3.4,3.475,3.325,3.375,3.256973,16400,0.025,0.735294118,,
3/11/2016,3.425,3.5,3.4,3.5,3.377602,13500,-0.075,-2.189781022,,
3/14/2016,3.45,3.45,3.25,3.425,3.305225,4300,0.025,0.724637681,,
3/15/2016,3.225,3.225,3.075,3.125,3.015716,33200,0.1,3.100775194,,
3/16/2016,3,3.025,2.95,3,2.895087,26800,0,0,,
3/17/2016,3.025,3.075,3.025,3.075,2.967464,4400,-0.05,-1.652892562,,
3/18/2016,3.075,3.1,3.05,3.1,2.99159,15900,-0.025,-0.81300813,,
3/21/2016,3.05,3.075,2.825,2.875,2.774458,66800,0.175,5.737704918,,
3/22/2016,2.85,2.875,2.825,2.85,2.750333,14300,0,0,,
3/23/2016,2.8,2.85,2.8,2.85,2.750333,6600,-0.05,-1.785714286,,
3/24/2016,2.85,2.875,2.85,2.875,2.774458,2200,-0.025,-0.877192982,,
3/28/2016,2.875,3.075,2.875,2.975,2.870961,26800,-0.1,-3.47826087,,
3/29/2016,2.95,2.95,2.775,2.95,2.846836,42900,0,0,,
3/30/2016,3.275,3.475,3.125,3.225,3.112219,193200,0.05,1.526717557,,
3/31/2016,2.9,2.9,2.85,2.875,2.774458,39800,0.025,0.862068966,,
4/1/2016,2.65,2.85,2.625,2.825,2.726207,48600,-0.175,-6.603773585,,
